URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/activity-vs,0.1.0,draft,,ActivityVS,Activity ValueSet (example),"Example ValueSet for Activity at time of incident",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/age-units-vs,0.1.0,active,,AgeUnitsVS,Age Units ValueSet,"Allowed units for Patient Age when Date of Birth is not available.",,"UCUM"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/cause-of-crash-file-type-vs,0.1.0,draft,,CauseOfCrashFileTypeVS,Cause of Crash File Type ValueSet,"Allowed file types for documents describing the cause of a road crash.",,"Other"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/cause-of-crash-vs,0.1.0,draft,,CauseOfCrashVS,Cause of Road Crash,"Defines codes representing the external causes of road traffic crashes",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/collision-type-vs,0.1.0,draft,,CollisionTypeVS,Collision Type ValueSet (example),"Types of collision in road traffic incidents",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/coordination,0.1.0,active,,CoordinationVS,Transport Coordination Codes,"Standard codes for documenting transport coordination.",,"SCT"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/external-cause-vs,0.1.0,draft,,ExternalCauseVS,External Cause ValueSet (example),"Illustrative set of codes representing external causes of injury.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/first-aid,0.1.0,active,,FirstAidVS,First Aid Codes,"Allowed values for first aid performed.",,"SCT"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/injury-nature-vs,0.1.0,draft,,InjuryNatureVS,Nature of Injury ValueSet (example),"Demonstration ValueSet capturing the nature of injury.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/intervention,0.1.0,active,,InterventionVS,Medical Intervention Procedure Codes,"Procedure codes representing medical interventions.",,"SCT"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/mode-of-transport-vs,0.1.0,draft,,ModeOfTransportVS,Mode of Transport ValueSet (example),"Sample ValueSet capturing transport modes.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/outcome-vs,0.1.0,draft,,OutcomeVS,Outcome ValueSet (example),"Example ValueSet capturing possible outcomes.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/party-at-fault-vs,0.1.0,draft,,PartyAtFaultVS,Party at Fault,"ValueSet indicating the party at fault in an incident.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/place-occ-vs,0.1.0,draft,,PlaceOccVS,Place of Occurrence ValueSet (example),"Example ValueSet capturing places of occurrence.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/priority-vs,0.1.0,draft,,PriorityVS,Triage Priority ValueSet (example),"Example ValueSet capturing triage priorities.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/psychosocial-procedure,0.1.0,active,,PsychosocialProcedureVS,Psychosocial Procedure Codes,"Codes representing psychosocial support interventions.",,"SCT"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/report-form-received-vs,0.1.0,draft,,ReportFormReceivedVS,Report Form Received,"ValueSet indicating whether a report form has been received.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/road-network-file-type-vs,0.1.0,draft,,RoadNetworkFileTypeVS,Road Network File Type,"Permitted file types for detailed road network shapefiles or GIS documents.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/rs-hospital-category,0.1.0,active,,RSHospitalCategoryVS,Hospital / EMS Category,"Categories for hospitals relevant to EMS referral.",,"SCT"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/rs-procedure,0.1.0,active,,RSProcedureVS,All Road Safety Procedure Codes,"Combines medical interventions, first aid, and psychosocial procedures.",,"SCT"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/rs-task-status,0.1.0,draft,,RSTaskStatusVS,Road Safety Task Status,"ValueSet for Task.status using custom Road Safety codes.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/vehicle-condition-vs,0.1.0,draft,,VehicleConditionVS,Vehicle Condition,"ValueSet indicating the condition of a vehicle.",,"Internal"
https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG/ValueSet/vs-rs-vehicle-type,0.1.0,draft,,VehicleTypeVS,ValueSet for Vehicle Used,"Vehicle types allowed for Road Safety Encounter",,"Internal"
