PHRoadSafetyIG : Validation Results
=========================================

err = 115, warn = 866, info = 67
$--
Generated $--. FHIR version $-- for example.fhir.ph.roadsafety#$-- (canonical = https://build.fhir.org/ig/UPM-NTHC/PH-RoadSafetyIG)
 Build Errors : 0 / 0 / 0
 /github/workspace/fsh-generated/resources/ConceptMap-MDSRoadSafety2FHIR : 0 / 11 / 1
 /github/workspace/fsh-generated/resources/ImplementationGuide-example.fhir.ph.roadsafety : 0 / 0 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-ph-road-safety-logical-model : 0 / 573 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-allergy-intolerance : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-bundle-ems : 0 / 7 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-bundle-oneiss : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-bundle-postcrash : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-claim : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-composition-ems : 0 / 7 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-composition-oneiss : 0 / 7 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-composition-postcrash : 0 / 4 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-condition : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-condition-external-cause : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-condition-final-diagnosis : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-condition-initial-impression : 2 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-condition-nature-of-injury : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-condition-problem : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-document-reference : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-encounter : 10 / 7 / 6
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-encounter-vehicle-used : 1 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-healthcare-service : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-incident-location-incident : 0 / 4 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-location-service : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-medication-statement : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-abrasion : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-activity-at-incident : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-avulsion : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-blood-alcohol : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-blood-pressure : 0 / 5 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-body-temperature : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-call-source : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-cctv-available : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-clinical-remarks : 0 / 2 / 3
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-collision-type : 0 / 1 / 3
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-collision-vs-noncollision : 0 / 1 / 3
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-concussion : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-condition-of-patient : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-contusion : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-cyanosis : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-ec-bites-stings : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-ec-burns : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-ec-chemical : 0 / 1 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-ec-drowning : 0 / 2 / 1
 /github/workspace/fsh-generated/resources/StructureDefinition-rs-observation-ec-fall : 0 / 2 / 1
